"Frequency (Hz)";"Absolute Amplitude (a.u.)"
1.291406250E4;1.219760927E-2
1.293750000E4;2.483545336E-2
1.296093750E4;2.641441900E-2
1.298437500E4;3.300133300E-2
1.300781250E4;7.128488407E-2
1.303125000E4;7.247550150E-2
1.305468750E4;1.046545066E-1
1.307812500E4;7.335158717E-2
1.310156250E4;5.882339813E-2
1.312500000E4;2.193939874E-2
1.314843750E4;5.105167779E-2
1.317187500E4;6.038459578E-2
1.319531250E4;9.718235079E-2
1.321875000E4;1.252883665E-2
1.324218750E4;9.317726382E-2
1.326562500E4;9.431206155E-2
1.328906250E4;5.921000047E-2
1.331250000E4;5.270587942E-2
1.333593750E4;7.696767725E-2
1.335937500E4;5.317346616E-2
1.338281250E4;1.280184176E-1
1.340625000E4;6.796928198E-2
1.342968750E4;8.985211695E-2
1.345312500E4;9.798391763E-3
1.347656250E4;4.689187553E-2
1.350000000E4;5.533068111E-2
1.352343750E4;4.135383446E-2
1.354687500E4;2.695314416E-2
1.357031250E4;2.761458292E-2
1.359375000E4;8.726231208E-3
1.361718750E4;1.802700583E-2
1.364062500E4;5.523972862E-3
1.366406250E4;4.134120141E-2
1.368750000E4;1.461329056E-2
1.371093750E4;4.624324424E-2
1.373437500E4;5.249315879E-2
1.375781250E4;5.469309790E-2
1.378125000E4;5.212979910E-2
1.380468750E4;9.496396362E-2
1.382812500E4;9.620608511E-2
1.385156250E4;8.650207005E-2
1.387500000E4;4.136946688E-2
1.389843750E4;2.781810233E-2
1.392187500E4;1.040033725E-2
1.394531250E4;2.649352412E-2
1.396875000E4;4.336249516E-2
1.399218750E4;4.793659403E-2
1.401562500E4;1.107660774E-2
1.403906250E4;2.854151737E-2
1.406250000E4;1.503089776E-2
1.408593750E4;6.404425276E-3
1.410937500E4;1.075251651E-2
1.413281250E4;1.855360272E-2
1.415625000E4;5.741333390E-4
1.417968750E4;1.785401577E-2
1.420312500E4;3.859289279E-2
1.422656250E4;1.568716381E-2
1.425000000E4;1.470436151E-2
1.427343750E4;1.462974039E-2
1.429687500E4;2.305404122E-2
1.432031250E4;1.488509177E-2
1.434375000E4;2.056092812E-2
1.436718750E4;1.528108856E-2
1.439062500E4;1.694982542E-2
1.441406250E4;2.465798050E-2
1.443750000E4;4.003690592E-2
1.446093750E4;2.335657207E-2
1.448437500E4;7.778031202E-3
1.450781250E4;2.652813536E-3
1.453125000E4;6.019443190E-2
1.455468750E4;3.518267987E-3
1.457812500E4;2.813890009E-2
1.460156250E4;3.611719882E-2
1.462500000E4;3.156744539E-2
1.464843750E4;6.784711689E-2
1.467187500E4;9.561218881E-3
1.469531250E4;4.972834804E-2
1.471875000E4;4.517906414E-2
1.474218750E4;8.827645515E-2
1.476562500E4;8.302002852E-2
1.478906250E4;5.981984018E-2
1.481250000E4;5.190531347E-2
1.483593750E4;3.617712380E-2
1.485937500E4;2.032502685E-2
1.488281250E4;2.782677038E-2
1.490625000E4;2.099097099E-2
1.492968750E4;3.854093773E-2
1.495312500E4;1.536674150E-2
1.497656250E4;5.221430925E-2
1.500000000E4;4.527446184E-2
1.502343750E4;2.535483197E-2
1.504687500E4;9.081814046E-2
1.507031250E4;2.840162137E-2
1.509375000E4;2.321459700E-2
1.511718750E4;7.722947066E-3
1.514062500E4;5.357320593E-3
1.516406250E4;1.963932499E-2
1.518750000E4;1.308277658E-2
1.521093750E4;3.431505474E-3
1.523437500E4;1.339753761E-2
1.525781250E4;3.065584023E-2
1.528125000E4;5.959664178E-3
1.530468750E4;2.096614431E-2
1.532812500E4;2.650727519E-2
1.535156250E4;4.791807532E-2
1.537500000E4;2.328194046E-2
1.539843750E4;2.765550858E-2
1.542187500E4;1.365667761E-2
1.544531250E4;4.417194169E-3
1.546875000E4;1.109664766E-3
1.549218750E4;3.105878621E-3
1.551562500E4;3.969599373E-3
1.553906250E4;4.593564798E-3
1.556250000E4;3.881555462E-3
1.558593750E4;5.706153237E-3
1.560937500E4;3.382092014E-2
1.563281250E4;1.831416252E-2
1.565625000E4;3.975530985E-2
1.567968750E4;9.859332714E-3
1.570312500E4;7.379687962E-3
1.572656250E4;8.929568791E-3
1.575000000E4;9.349632669E-3
1.577343750E4;7.452273405E-3
1.579687500E4;5.097237966E-3
1.582031250E4;2.582264924E-3
1.584375000E4;5.548486689E-3
1.586718750E4;4.575602561E-3
1.589062500E4;8.767161782E-3
1.591406250E4;3.923556024E-3
1.593750000E4;1.743631664E-3
1.596093750E4;1.643280881E-3
1.598437500E4;4.659116926E-3
1.600781250E4;2.570439864E-3
1.603125000E4;8.405646974E-3
1.605468750E4;1.890817651E-3
1.607812500E4;6.513592221E-4
1.610156250E4;9.507190470E-4
1.612500000E4;2.588839174E-3
1.614843750E4;4.641639303E-3
1.617187500E4;2.064873301E-3
1.619531250E4;1.817329272E-3
1.621875000E4;5.096906753E-3
1.624218750E4;1.485843763E-3
1.626562500E4;2.492080720E-3
1.628906250E4;1.012591236E-2
1.631250000E4;7.554014015E-4
1.633593750E4;1.044504318E-3
1.635937500E4;4.032700599E-3
1.638281250E4;1.843158181E-3
1.640625000E4;4.089405015E-3
1.642968750E4;9.399157655E-4
1.645312500E4;3.564696600E-3
1.647656250E4;7.200646437E-3
1.650000000E4;1.440624531E-3
1.652343750E4;5.878731881E-3
1.654687500E4;1.372889722E-3
1.657031250E4;1.242502724E-3
1.659375000E4;2.519645330E-3
1.661718750E4;3.047904718E-3
1.664062500E4;1.668331251E-3
1.666406250E4;5.073714433E-3
1.668750000E4;9.567548677E-4
1.671093750E4;2.202532237E-3
1.673437500E4;4.147458583E-3
1.675781250E4;2.642907602E-3
1.678125000E4;7.210468787E-4
1.680468750E4;2.973688183E-3
1.682812500E4;4.666401881E-3
1.685156250E4;4.476920188E-3
1.687500000E4;3.259915164E-3
1.689843750E4;2.867089977E-3
1.692187500E4;1.441859013E-3
1.694531250E4;4.738336771E-3
1.696875000E4;6.706408930E-3
1.699218750E4;3.813731495E-4
1.701562500E4;1.979826780E-3
1.703906250E4;7.993563359E-3
1.706250000E4;3.675362766E-3
1.708593750E4;2.388958200E-3
1.710937500E4;5.335249980E-4
1.713281250E4;4.153402376E-3
1.715625000E4;1.366113882E-3
1.717968750E4;8.840986078E-4
1.720312500E4;1.000576435E-3
1.722656250E4;4.885623370E-3
1.725000000E4;2.778179188E-3
1.727343750E4;2.323467068E-3
1.729687500E4;6.230355705E-3
1.732031250E4;5.145219554E-3
1.734375000E4;1.594686060E-4
1.736718750E4;4.838526810E-3
1.739062500E4;3.840816767E-4
1.741406250E4;2.761484970E-3
1.743750000E4;1.904542479E-3
1.746093750E4;4.708717049E-3
1.748437500E4;1.445379558E-3
1.750781250E4;2.622160061E-3
1.753125000E4;1.661025313E-3
1.755468750E4;1.768689092E-3
1.757812500E4;2.917885662E-3
1.760156250E4;5.441991808E-3
1.762500000E4;8.315421130E-3
1.764843750E4;1.061601782E-3
1.767187500E4;7.069054500E-3
1.769531250E4;2.776411241E-3
1.771875000E4;3.041014193E-3
1.774218750E4;5.887236465E-3
1.776562500E4;1.402188235E-3
1.778906250E4;2.294503654E-3
1.781250000E4;3.073371914E-3
1.783593750E4;5.727618222E-3
1.785937500E4;4.843504952E-3
1.788281250E4;4.607080203E-3
1.790625000E4;5.414509815E-3
1.792968750E4;1.662929929E-3
