"Time (s)";"Recording (a.u.)"
6.895833333E-3;-5.140298745E-4
6.916666667E-3;-5.487466115E-4
6.937500000E-3;-2.896037222E-5
6.958333333E-3;2.216671128E-4
6.979166667E-3;9.224553651E-5
7.000000000E-3;7.926300168E-4
7.020833333E-3;1.203961205E-3
7.041666667E-3;-3.573916183E-5
7.062500000E-3;-4.602820554E-4
7.083333333E-3;1.447106712E-3
7.104166667E-3;2.020991175E-3
7.125000000E-3;-4.414055438E-4
7.145833333E-3;-1.383114024E-3
7.166666667E-3;8.910057368E-4
7.187500000E-3;1.687962445E-3
7.208333333E-3;-2.173616667E-4
7.229166667E-3;-1.017731964E-3
7.250000000E-3;5.045848866E-6
7.270833333E-3;1.715296763E-3
7.291666667E-3;3.404756542E-3
7.312500000E-3;2.113139722E-3
7.333333333E-3;-1.189350151E-3
7.354166667E-3;-2.733690781E-4
7.375000000E-3;3.159783548E-3
7.395833333E-3;2.146138577E-3
7.416666667E-3;-8.289209800E-4
7.437500000E-3;4.912411896E-5
7.458333333E-3;2.441700548E-3
7.479166667E-3;2.348870970E-3
7.500000000E-3;1.163020264E-3
7.520833333E-3;3.963506024E-4
7.541666667E-3;4.667743342E-4
7.562500000E-3;1.729450771E-3
7.583333333E-3;1.783045009E-3
7.604166667E-3;8.181041630E-5
7.625000000E-3;-3.588472027E-4
7.645833333E-3;9.999301983E-4
7.666666667E-3;1.537212753E-3
7.687500000E-3;6.966105429E-4
7.708333333E-3;2.950110065E-4
7.729166667E-3;5.887368461E-4
7.750000000E-3;1.117852167E-3
7.770833333E-3;1.169994473E-3
7.791666667E-3;-2.286108356E-4
7.812500000E-3;-1.277661882E-3
7.833333333E-3;3.322772318E-5
7.854166667E-3;7.353685796E-4
7.875000000E-3;-9.478939464E-4
7.895833333E-3;-1.230906695E-3
7.916666667E-3;7.501980872E-4
7.937500000E-3;1.485222951E-3
7.958333333E-3;4.248370533E-4
7.979166667E-3;2.041089901E-4
8.000000000E-3;1.063927775E-3
8.020833333E-3;1.423231326E-3
8.041666667E-3;7.701322902E-4
8.062500000E-3;-4.997799406E-4
8.083333333E-3;-6.833476364E-4
8.104166667E-3;6.553719868E-4
8.125000000E-3;1.201041276E-3
8.145833333E-3;-1.061971270E-4
8.166666667E-3;-7.914856542E-4
8.187500000E-3;3.608443949E-4
8.208333333E-3;9.902819293E-4
