"Frequency (Hz)";"Absolute Amplitude (a.u.)"
1.305468750E4;4.004242780E-2
1.307812500E4;4.102057950E-2
1.310156250E4;3.888490074E-2
1.312500000E4;5.483873894E-2
1.314843750E4;7.328939325E-3
1.317187500E4;3.994384396E-2
1.319531250E4;2.098624794E-2
1.321875000E4;1.668831662E-2
1.324218750E4;1.694274656E-2
1.326562500E4;2.740961420E-2
1.328906250E4;2.648414888E-2
1.331250000E4;2.707824985E-2
1.333593750E4;5.799096921E-3
1.335937500E4;6.389441263E-3
1.338281250E4;9.376788382E-3
1.340625000E4;2.047777609E-2
1.342968750E4;2.133317907E-2
1.345312500E4;1.833999468E-2
1.347656250E4;3.456607953E-2
1.350000000E4;1.670718113E-2
1.352343750E4;2.408324330E-2
1.354687500E4;4.467124421E-2
1.357031250E4;2.119182297E-2
1.359375000E4;1.423838845E-2
1.361718750E4;2.141677884E-2
1.364062500E4;2.409601164E-2
1.366406250E4;1.510903504E-2
1.368750000E4;2.585786485E-2
1.371093750E4;3.872638920E-3
1.373437500E4;3.752635998E-2
1.375781250E4;2.614881040E-2
1.378125000E4;1.174497196E-2
1.380468750E4;2.319871268E-2
1.382812500E4;3.422573762E-2
1.385156250E4;4.277603007E-2
1.387500000E4;3.995353747E-2
1.389843750E4;4.258952997E-2
1.392187500E4;2.804193071E-2
1.394531250E4;1.620230330E-2
1.396875000E4;1.348534551E-2
1.399218750E4;8.081815090E-3
1.401562500E4;3.646201406E-4
1.403906250E4;8.873070904E-3
1.406250000E4;2.210491235E-2
1.408593750E4;2.435891033E-2
1.410937500E4;1.192494631E-2
1.413281250E4;1.512431138E-2
1.415625000E4;2.019295020E-2
1.417968750E4;7.670737087E-3
1.420312500E4;1.060625813E-2
1.422656250E4;1.886607969E-2
1.425000000E4;1.150119292E-2
1.427343750E4;8.115024437E-3
1.429687500E4;9.132186299E-3
1.432031250E4;7.430668024E-3
1.434375000E4;2.101604282E-2
1.436718750E4;1.875087184E-2
1.439062500E4;5.760160572E-3
1.441406250E4;1.633139278E-2
1.443750000E4;2.492343438E-2
1.446093750E4;1.377891106E-2
1.448437500E4;1.028572432E-2
1.450781250E4;2.674262848E-2
1.453125000E4;4.203023769E-2
1.455468750E4;3.068686136E-2
1.457812500E4;3.643247757E-2
1.460156250E4;3.485973002E-2
1.462500000E4;1.125856477E-2
1.464843750E4;1.401383617E-2
1.467187500E4;3.353347911E-3
1.469531250E4;2.712983647E-2
1.471875000E4;2.427027827E-2
1.474218750E4;2.000866995E-2
1.476562500E4;1.522239710E-2
1.478906250E4;2.095813406E-2
1.481250000E4;1.652016161E-2
1.483593750E4;1.502818120E-2
1.485937500E4;1.175341406E-2
1.488281250E4;2.053629780E-2
1.490625000E4;1.484328292E-2
1.492968750E4;1.685486477E-2
1.495312500E4;1.386529139E-2
1.497656250E4;2.561537354E-2
1.500000000E4;2.932743992E-2
1.502343750E4;5.705921017E-3
1.504687500E4;6.063117605E-3
1.507031250E4;1.549940617E-2
1.509375000E4;9.787678061E-3
1.511718750E4;2.493160814E-2
1.514062500E4;2.018520899E-2
1.516406250E4;6.121737428E-3
1.518750000E4;1.565367923E-3
1.521093750E4;1.778864286E-2
1.523437500E4;5.672045731E-3
1.525781250E4;9.764699454E-3
1.528125000E4;3.564435688E-3
1.530468750E4;2.836054659E-3
1.532812500E4;3.944740023E-3
1.535156250E4;1.858657348E-3
1.537500000E4;2.501826310E-3
