"Time (s)";"Recording (a.u.)"
7.541666667E-3;-2.706064552E-4
7.562500000E-3;-5.126558826E-4
7.583333333E-3;-4.360782914E-4
7.604166667E-3;-1.304520702E-4
7.625000000E-3;-1.400162146E-4
7.645833333E-3;-3.148832548E-5
7.666666667E-3;2.511365456E-4
7.687500000E-3;3.933868720E-4
7.708333333E-3;7.756425766E-4
7.729166667E-3;1.343693119E-3
7.750000000E-3;1.959582092E-3
7.770833333E-3;2.529550111E-3
7.791666667E-3;2.830988029E-3
7.812500000E-3;3.013626672E-3
7.833333333E-3;3.159328364E-3
7.854166667E-3;3.341005184E-3
7.875000000E-3;3.590562148E-3
7.895833333E-3;3.548787907E-3
7.916666667E-3;3.433534876E-3
7.937500000E-3;3.454843070E-3
7.958333333E-3;3.164362628E-3
7.979166667E-3;2.594034420E-3
8.000000000E-3;2.312934725E-3
8.020833333E-3;2.377074212E-3
8.041666667E-3;2.168865642E-3
8.062500000E-3;1.640710747E-3
8.083333333E-3;1.226871042E-3
8.104166667E-3;1.053257962E-3
8.125000000E-3;9.759606910E-4
8.145833333E-3;9.264591499E-4
8.166666667E-3;1.084017684E-3
8.187500000E-3;1.215194468E-3
8.208333333E-3;1.369236386E-3
8.229166667E-3;1.568678068E-3
8.250000000E-3;1.528088469E-3
8.270833333E-3;1.669004210E-3
8.291666667E-3;1.970592188E-3
8.312500000E-3;2.085403772E-3
8.333333333E-3;2.146669198E-3
8.354166667E-3;2.289717551E-3
8.375000000E-3;2.396058524E-3
8.395833333E-3;2.381850034E-3
8.416666667E-3;2.501773648E-3
8.437500000E-3;2.632329008E-3
8.458333333E-3;2.722463338E-3
8.479166667E-3;2.783729462E-3
8.500000000E-3;2.658587880E-3
8.520833333E-3;2.726732753E-3
8.541666667E-3;2.958767815E-3
8.562500000E-3;3.070495557E-3
8.583333333E-3;3.265602514E-3
8.604166667E-3;3.624835284E-3
8.625000000E-3;3.688354045E-3
8.645833333E-3;3.151837038E-3
8.666666667E-3;2.454867121E-3
8.687500000E-3;2.180028008E-3
8.708333333E-3;2.263615606E-3
8.729166667E-3;2.210728591E-3
8.750000000E-3;1.849313965E-3
8.770833333E-3;1.453981036E-3
