"Frequency (Hz)";"Absolute Amplitude (a.u.)"
1.115625000E4;2.413160043E-2
1.117968750E4;9.011868756E-3
1.120312500E4;2.115813614E-2
1.122656250E4;1.469187825E-2
1.125000000E4;1.986943259E-2
1.127343750E4;2.130904885E-2
1.129687500E4;1.870830725E-2
1.132031250E4;1.180638845E-2
1.134375000E4;1.449070557E-2
1.136718750E4;5.072420548E-3
1.139062500E4;3.064327572E-2
1.141406250E4;3.578926892E-2
1.143750000E4;5.370943956E-3
1.146093750E4;5.328876562E-3
1.148437500E4;3.500071217E-2
1.150781250E4;6.869310335E-2
1.153125000E4;4.234148581E-2
1.155468750E4;1.506149575E-2
1.157812500E4;2.866022536E-2
1.160156250E4;3.209431621E-2
1.162500000E4;2.843427361E-2
1.164843750E4;2.736378496E-2
1.167187500E4;6.218229025E-2
1.169531250E4;1.062526827E-3
1.171875000E4;5.372060029E-2
1.174218750E4;2.485877972E-2
1.176562500E4;3.961520390E-2
1.178906250E4;4.227095981E-2
1.181250000E4;3.485692372E-2
1.183593750E4;6.680139353E-2
1.185937500E4;1.458536446E-2
1.188281250E4;1.676536025E-2
1.190625000E4;3.741038806E-2
1.192968750E4;4.761079552E-2
1.195312500E4;2.673921554E-2
1.197656250E4;2.708117523E-2
1.200000000E4;6.988198543E-2
1.202343750E4;9.267201552E-2
1.204687500E4;3.655735454E-2
1.207031250E4;6.857748161E-2
1.209375000E4;1.154358319E-1
1.211718750E4;1.226228481E-1
1.214062500E4;5.020129587E-2
1.216406250E4;1.815645121E-2
1.218750000E4;3.181065469E-2
1.221093750E4;2.943358711E-2
1.223437500E4;2.016273643E-2
1.225781250E4;3.014748076E-2
1.228125000E4;1.631549435E-2
1.230468750E4;9.103891403E-3
1.232812500E4;1.982478533E-2
1.235156250E4;2.285145049E-2
1.237500000E4;2.652424541E-2
1.239843750E4;2.726124765E-2
1.242187500E4;3.354855954E-2
1.244531250E4;1.633166458E-2
1.246875000E4;2.406942857E-2
1.249218750E4;1.672707909E-2
1.251562500E4;1.913304622E-2
1.253906250E4;8.143914406E-3
1.256250000E4;2.859660827E-2
1.258593750E4;2.190133446E-2
1.260937500E4;1.945592753E-2
1.263281250E4;1.489892312E-2
1.265625000E4;2.049887934E-2
1.267968750E4;4.840856071E-3
1.270312500E4;1.518654334E-2
1.272656250E4;6.337433662E-3
1.275000000E4;2.460359034E-2
1.277343750E4;7.117041760E-3
1.279687500E4;1.249945433E-2
1.282031250E4;7.473916460E-3
1.284375000E4;2.052819529E-2
1.286718750E4;2.003204823E-2
1.289062500E4;1.358275942E-2
1.291406250E4;4.299131093E-2
1.293750000E4;4.968938641E-3
1.296093750E4;4.029309044E-2
1.298437500E4;2.411863483E-2
1.300781250E4;1.741244940E-2
1.303125000E4;2.466596650E-2
1.305468750E4;3.209764451E-2
1.307812500E4;3.355257207E-2
1.310156250E4;2.025472715E-2
1.312500000E4;1.830341564E-2
1.314843750E4;5.823003828E-2
1.317187500E4;2.872536073E-2
1.319531250E4;3.143233674E-2
1.321875000E4;5.856408926E-3
1.324218750E4;1.756215859E-2
1.326562500E4;2.134480299E-2
1.328906250E4;3.966493398E-2
1.331250000E4;6.062260414E-2
1.333593750E4;9.915285594E-3
1.335937500E4;1.844439335E-2
1.338281250E4;1.780153242E-2
1.340625000E4;1.323337169E-2
1.342968750E4;3.461096296E-2
1.345312500E4;7.787608276E-2
1.347656250E4;2.541860717E-2
1.350000000E4;2.720944076E-2
1.352343750E4;1.325876874E-2
1.354687500E4;6.849213163E-3
1.357031250E4;1.832090055E-2
1.359375000E4;7.031090754E-2
1.361718750E4;1.808365270E-2
1.364062500E4;2.036456122E-2
1.366406250E4;3.924849490E-2
1.368750000E4;1.737940096E-2
1.371093750E4;1.771653469E-2
1.373437500E4;3.141523242E-2
1.375781250E4;1.592894200E-2
1.378125000E4;2.847981789E-2
1.380468750E4;2.250256650E-2
1.382812500E4;4.615354295E-2
1.385156250E4;3.214560913E-2
1.387500000E4;1.626867937E-2
1.389843750E4;2.612001477E-2
1.392187500E4;1.672088214E-2
1.394531250E4;2.425917708E-2
1.396875000E4;2.368104856E-2
1.399218750E4;2.408912518E-2
1.401562500E4;1.663699265E-2
1.403906250E4;1.215879511E-2
1.406250000E4;2.168660477E-2
1.408593750E4;2.247849637E-2
1.410937500E4;1.573956739E-2
1.413281250E4;1.839288635E-2
1.415625000E4;2.888986486E-2
1.417968750E4;1.475041748E-2
1.420312500E4;1.360292335E-2
1.422656250E4;1.671934086E-2
1.425000000E4;4.678399729E-2
1.427343750E4;2.285235970E-2
1.429687500E4;1.392715248E-2
1.432031250E4;1.288622154E-2
1.434375000E4;2.447266804E-2
1.436718750E4;1.884344852E-2
1.439062500E4;1.579135836E-2
1.441406250E4;1.311080613E-2
1.443750000E4;2.187080824E-2
1.446093750E4;2.733278138E-2
1.448437500E4;2.302427894E-2
1.450781250E4;1.635982770E-2
1.453125000E4;1.880868299E-2
1.455468750E4;2.081747747E-2
1.457812500E4;2.008253815E-2
1.460156250E4;1.241278674E-2
1.462500000E4;2.916968898E-2
1.464843750E4;8.068725954E-2
1.467187500E4;4.474372134E-2
1.469531250E4;3.907054439E-2
1.471875000E4;2.476831380E-3
1.474218750E4;1.751519363E-2
1.476562500E4;3.017990445E-3
1.478906250E4;3.877316595E-2
1.481250000E4;3.134571435E-2
1.483593750E4;5.662065226E-2
1.485937500E4;1.296771620E-2
1.488281250E4;6.845695964E-3
1.490625000E4;2.167556318E-2
1.492968750E4;1.046141048E-2
1.495312500E4;2.661513470E-2
1.497656250E4;1.576424026E-2
1.500000000E4;1.515080319E-2
1.502343750E4;8.341719591E-3
1.504687500E4;8.227466029E-3
1.507031250E4;2.124086677E-2
1.509375000E4;1.059330237E-2
1.511718750E4;1.014569769E-2
1.514062500E4;8.712665700E-3
1.516406250E4;2.140166523E-2
1.518750000E4;1.166792073E-2
1.521093750E4;6.929774092E-3
1.523437500E4;1.453722060E-2
1.525781250E4;7.116663578E-3
1.528125000E4;4.135332586E-3
1.530468750E4;1.693108835E-2
1.532812500E4;9.135881911E-3
1.535156250E4;1.175937225E-2
1.537500000E4;1.731093972E-2
1.539843750E4;6.302719410E-3
1.542187500E4;1.466997739E-2
1.544531250E4;1.195593996E-2
1.546875000E4;1.544422719E-2
1.549218750E4;4.587709999E-3
1.551562500E4;1.121848158E-2
1.553906250E4;1.217508791E-2
1.556250000E4;1.206059270E-2
1.558593750E4;1.602652410E-2
1.560937500E4;1.289312179E-2
1.563281250E4;8.622012610E-3
1.565625000E4;9.615510613E-3
1.567968750E4;1.602185943E-2
1.570312500E4;8.972500451E-3
1.572656250E4;8.405724700E-3
1.575000000E4;7.750780010E-3
1.577343750E4;1.230614831E-2
1.579687500E4;1.181447187E-2
1.582031250E4;1.318926476E-2
1.584375000E4;1.696708302E-2
1.586718750E4;1.607675232E-2
1.589062500E4;1.389293652E-2
1.591406250E4;7.186527868E-3
1.593750000E4;1.357775679E-2
1.596093750E4;1.504106688E-2
1.598437500E4;1.302603673E-2
1.600781250E4;1.408837657E-2
1.603125000E4;9.730912123E-3
1.605468750E4;1.069217334E-2
1.607812500E4;1.430509875E-2
1.610156250E4;1.134953656E-2
1.612500000E4;1.712196635E-2
1.614843750E4;1.091878233E-2
1.617187500E4;9.978190095E-3
1.619531250E4;7.934515115E-3
1.621875000E4;6.191298266E-3
1.624218750E4;1.325499618E-2
1.626562500E4;1.506166972E-2
1.628906250E4;7.338179779E-3
1.631250000E4;9.653311900E-3
1.633593750E4;1.194734796E-2
1.635937500E4;1.928380692E-2
1.638281250E4;1.131869293E-2
1.640625000E4;3.220758792E-3
1.642968750E4;9.940815839E-3
1.645312500E4;1.446937806E-2
1.647656250E4;1.238239905E-2
1.650000000E4;1.128153062E-2
1.652343750E4;1.126759293E-2
1.654687500E4;7.587623278E-3
1.657031250E4;1.141881538E-2
1.659375000E4;1.086340374E-2
1.661718750E4;1.485432827E-2
1.664062500E4;1.306634539E-2
1.666406250E4;1.863734063E-2
1.668750000E4;8.678829564E-3
1.671093750E4;1.347018776E-2
1.673437500E4;9.697982284E-3
1.675781250E4;1.066548421E-2
1.678125000E4;1.428654591E-2
1.680468750E4;1.253400694E-2
1.682812500E4;1.391883473E-2
1.685156250E4;1.681730765E-2
1.687500000E4;1.430091641E-2
1.689843750E4;1.427347662E-2
1.692187500E4;1.163514187E-2
1.694531250E4;6.543746464E-3
1.696875000E4;1.381197957E-2
1.699218750E4;1.188725454E-2
1.701562500E4;1.296898473E-2
1.703906250E4;1.452625414E-2
1.706250000E4;1.126217168E-2
1.708593750E4;9.612638488E-3
1.710937500E4;1.561153728E-2
1.713281250E4;1.125418163E-2
1.715625000E4;1.540497326E-2
1.717968750E4;8.328953468E-3
1.720312500E4;1.185319141E-2
1.722656250E4;6.524344955E-3
1.725000000E4;1.143989175E-2
1.727343750E4;1.364227593E-2
1.729687500E4;1.070443918E-2
1.732031250E4;1.203965310E-2
1.734375000E4;9.232607295E-3
1.736718750E4;1.280311090E-2
1.739062500E4;1.258649144E-2
1.741406250E4;1.163015129E-2
1.743750000E4;9.080612352E-3
1.746093750E4;9.773772596E-3
1.748437500E4;1.067255435E-2
1.750781250E4;8.986080204E-3
1.753125000E4;1.338863003E-2
1.755468750E4;1.398174037E-2
1.757812500E4;9.610841547E-3
1.760156250E4;1.272348064E-2
1.762500000E4;8.345040022E-3
1.764843750E4;7.986114259E-3
1.767187500E4;1.044781436E-2
1.769531250E4;8.969308758E-3
1.771875000E4;1.125946567E-2
1.774218750E4;9.184920567E-3
1.776562500E4;1.459917170E-2
1.778906250E4;8.903992123E-3
1.781250000E4;9.676219693E-3
1.783593750E4;1.218071920E-2
1.785937500E4;9.509280084E-3
1.788281250E4;9.786068809E-3
1.790625000E4;9.386145014E-3
1.792968750E4;9.063160530E-3
1.795312500E4;9.241579713E-3
1.797656250E4;9.491028203E-3
1.800000000E4;1.216191133E-2
1.802343750E4;1.409866391E-2
1.804687500E4;7.726929554E-3
1.807031250E4;8.337340145E-3
1.809375000E4;7.641098224E-3
1.811718750E4;9.698122733E-3
1.814062500E4;1.343826041E-2
1.816406250E4;9.576526480E-3
1.818750000E4;1.425763215E-2
1.821093750E4;1.127027965E-2
1.823437500E4;1.093367016E-2
1.825781250E4;1.350083425E-2
1.828125000E4;1.226582465E-2
1.830468750E4;5.114940261E-3
1.832812500E4;1.177716257E-2
1.835156250E4;1.204147413E-2
1.837500000E4;1.177918119E-2
1.839843750E4;1.024487519E-2
1.842187500E4;1.341141383E-2
1.844531250E4;1.257135985E-2
1.846875000E4;1.128417684E-2
1.849218750E4;1.270571452E-2
1.851562500E4;1.138876289E-2
1.853906250E4;1.326871654E-2
1.856250000E4;9.923185441E-3
1.858593750E4;1.214157450E-2
1.860937500E4;1.050400492E-2
1.863281250E4;1.158350230E-2
1.865625000E4;1.027847408E-2
1.867968750E4;8.532808567E-3
1.870312500E4;9.089491669E-3
1.872656250E4;1.220567722E-2
1.875000000E4;1.001330229E-2
1.877343750E4;9.141695155E-3
1.879687500E4;7.226967574E-3
1.882031250E4;9.318194541E-3
1.884375000E4;1.045161726E-2
1.886718750E4;6.475576970E-3
