"Time (s)";"Recording (a.u.)"
1.258333333E-2;-2.061187290E-3
1.260416667E-2;-3.247436136E-3
1.262500000E-2;-3.231611801E-3
1.264583333E-2;-3.019409720E-3
1.266666667E-2;-3.340915311E-3
1.268750000E-2;-4.043981433E-3
1.270833333E-2;-4.424878862E-3
1.272916667E-2;-3.675171174E-3
1.275000000E-2;-2.875717822E-3
1.277083333E-2;-3.532958915E-3
1.279166667E-2;-3.976887558E-3
1.281250000E-2;-3.719524713E-3
1.283333333E-2;-4.529636819E-3
1.285416667E-2;-5.454192404E-3
1.287500000E-2;-5.268735345E-3
1.289583333E-2;-5.768837407E-3
1.291666667E-2;-7.738252636E-3
1.293750000E-2;-8.497427218E-3
1.295833333E-2;-7.752738427E-3
1.297916667E-2;-7.716483902E-3
1.300000000E-2;-7.939992473E-3
1.302083333E-2;-7.872245274E-3
1.304166667E-2;-8.057824336E-3
1.306250000E-2;-8.296080865E-3
1.308333333E-2;-8.445073850E-3
1.310416667E-2;-8.807472885E-3
1.312500000E-2;-8.742802776E-3
1.314583333E-2;-7.141038310E-3
1.316666667E-2;-5.603712983E-3
1.318750000E-2;-5.579991266E-3
1.320833333E-2;-4.963295534E-3
1.322916667E-2;-3.529330250E-3
1.325000000E-2;-3.361024661E-3
1.327083333E-2;-3.106720513E-3
1.329166667E-2;-1.195584075E-3
1.331250000E-2;8.934734797E-5
1.333333333E-2;-3.127160016E-4
1.335416667E-2;-9.712945321E-4
1.337500000E-2;-1.472304924E-3
1.339583333E-2;-1.754285186E-3
1.341666667E-2;-1.656963839E-3
1.343750000E-2;-1.596037066E-3
1.345833333E-2;-1.143538277E-3
1.347916667E-2;6.369979237E-4
1.350000000E-2;1.909114188E-3
1.352083333E-2;2.162841614E-3
1.354166667E-2;3.677662229E-3
1.356250000E-2;4.916835111E-3
1.358333333E-2;4.379482474E-3
1.360416667E-2;4.141536541E-3
1.362500000E-2;5.455376115E-3
1.364583333E-2;6.064049434E-3
1.366666667E-2;4.456782248E-3
1.368750000E-2;3.295520321E-3
1.370833333E-2;2.968763234E-3
1.372916667E-2;1.739124767E-3
1.375000000E-2;2.804019095E-5
1.377083333E-2;-1.270391862E-3
1.379166667E-2;-1.392601756E-3
1.381250000E-2;-4.017333849E-4
1.383333333E-2;-1.963142713E-4
1.385416667E-2;-1.635103486E-3
1.387500000E-2;-2.208509017E-3
1.389583333E-2;-1.318833558E-3
1.391666667E-2;-1.269748551E-3
1.393750000E-2;-1.925360877E-3
1.395833333E-2;-1.761454041E-3
1.397916667E-2;-1.207484980E-3
1.400000000E-2;-1.900193281E-3
1.402083333E-2;-3.457805607E-3
1.404166667E-2;-4.295716528E-3
1.406250000E-2;-4.433937371E-3
1.408333333E-2;-4.489173181E-3
1.410416667E-2;-5.235261749E-3
1.412500000E-2;-6.691987626E-3
1.414583333E-2;-7.811015937E-3
1.416666667E-2;-8.619689383E-3
1.418750000E-2;-8.976172656E-3
1.420833333E-2;-8.480681106E-3
1.422916667E-2;-7.985905744E-3
1.425000000E-2;-8.360601030E-3
1.427083333E-2;-9.214694612E-3
1.429166667E-2;-9.145132266E-3
1.431250000E-2;-8.952110074E-3
1.433333333E-2;-1.000743173E-2
1.435416667E-2;-1.040899009E-2
1.437500000E-2;-9.686348028E-3
1.439583333E-2;-9.940169752E-3
1.441666667E-2;-1.143135596E-2
1.443750000E-2;-1.257041935E-2
1.445833333E-2;-1.314209215E-2
1.447916667E-2;-1.497671288E-2
1.450000000E-2;-1.778588630E-2
1.452083333E-2;-1.952073164E-2
1.454166667E-2;-1.985381357E-2
1.456250000E-2;-1.986558177E-2
1.458333333E-2;-2.031230181E-2
1.460416667E-2;-2.076474018E-2
1.462500000E-2;-2.010198496E-2
1.464583333E-2;-1.838873699E-2
1.466666667E-2;-1.723329164E-2
1.468750000E-2;-1.617744192E-2
1.470833333E-2;-1.364839450E-2
1.472916667E-2;-1.060050260E-2
1.475000000E-2;-8.874277584E-3
1.477083333E-2;-8.247159421E-3
1.479166667E-2;-7.049239241E-3
1.481250000E-2;-5.696343724E-3
1.483333333E-2;-5.602017045E-3
1.485416667E-2;-6.274894346E-3
1.487500000E-2;-6.692780182E-3
1.489583333E-2;-6.677658297E-3
1.491666667E-2;-7.002465427E-3
1.493750000E-2;-7.339535747E-3
1.495833333E-2;-6.244967226E-3
1.497916667E-2;-4.285700619E-3
1.500000000E-2;-2.829153556E-3
1.502083333E-2;-1.574178110E-3
1.504166667E-2;7.494555903E-4
1.506250000E-2;3.578679403E-3
1.508333333E-2;5.469666328E-3
1.510416667E-2;7.557881530E-3
1.512500000E-2;1.020293217E-2
1.514583333E-2;1.203435846E-2
1.516666667E-2;1.295369212E-2
1.518750000E-2;1.373744383E-2
1.520833333E-2;1.508135162E-2
1.522916667E-2;1.630335487E-2
1.525000000E-2;1.640409604E-2
1.527083333E-2;1.568531990E-2
1.529166667E-2;1.528660953E-2
1.531250000E-2;1.530629676E-2
1.533333333E-2;1.442194637E-2
1.535416667E-2;1.301061269E-2
1.537500000E-2;1.283728331E-2
1.539583333E-2;1.383847464E-2
1.541666667E-2;1.361200958E-2
1.543750000E-2;1.210233849E-2
1.545833333E-2;1.238458883E-2
1.547916667E-2;1.402676757E-2
1.550000000E-2;1.463605464E-2
1.552083333E-2;1.476771850E-2
1.554166667E-2;1.555754989E-2
1.556250000E-2;1.597545110E-2
1.558333333E-2;1.495263912E-2
1.560416667E-2;1.413825899E-2
